GMA,zone,n,pct_excl,median_sp,p10,p90,p90p10,p_iqr,cod,median_ratio,log_median_sp
C661,C,45,0.06666666666666667,244000,181360,318000,1.753418614909572,0.3442622950819672,18.14714327714755,0.8853235653235654,12.404923504275338
C662,C,23,0,239900,185700,322600,1.7372105546580505,0.3761984160066694,13.244895069515316,0.8913738019169329,12.387977448827787
C663,C,24,0.041666666666666664,207500,96500,341100,3.5347150259067357,0.8010240963855422,17.415540303046214,0.84,12.24288661865289
C664,C,63,0.07936507936507936,255000,188640,386880.0000000001,2.050890585241731,0.29901960784313725,19.679231421689426,0.9668852459016394,12.449018824140563
C665,C,57,0.07017543859649122,282000,156000,385000,2.467948717948718,0.46099290780141844,26.12667782615871,0.9294117647058824,12.54966234992025
C666,C,38,0,217000,175000,270000,1.542857142857143,0.1774193548387097,11.576148677363712,0.9931714404317145,12.287652632522597
C667,C,66,0.030303030303030304,211450,136750,235000,1.7184643510054844,0.21470796878694726,16.392920983137294,0.9492529550827422,12.261743842900634
C6i1,C,69,0.6666666666666666,354355.29,276892.16000000003,1840000.0000000005,6.6451863425818924,0.33231133645556704,181.82056765542802,0.19383876775355072,12.778055332869737
C711,C,93,0,319900,225000,369400,1.6417777777777778,0.2438261956861519,17.05468200491372,0.9093333333333332,12.675763725937609
C713,C,57,0.017543859649122806,205000,160000,281199.99999999994,1.7574999999999996,0.3121951219512195,15.053023347827661,0.9874698795180724,12.230765258120545
C714,C,44,0,235000,186720.335,272800,1.4610085184348025,0.17659574468085107,15.841003535906816,0.9201021276595744,12.367340793126296
C717,C,67,0.029850746268656716,182500,140000,252000,1.8,0.323013698630137,17.037996046296396,0.9831111111111112,12.114505452004684
C718,C,48,0.020833333333333332,269000,220260,318000,1.4437482974666302,0.2062267657992565,14.798950488031958,0.8960262572637923,12.502466658583977
C719,C,23,0,215000,180600,254800,1.4108527131782946,0.19744186046511628,12.834318954694695,0.9795238095238096,12.2783933071098
C721,C,29,0.034482758620689655,164000,140000,277000,1.9785714285714286,0.2073170731707317,13.832423070703536,0.8902635825712749,12.007621706806335
C722,C,70,0.05714285714285714,190000,137500,267920,1.948509090909091,0.225,17.806003801937667,0.965,12.154779351142624
C723,C,65,0.07692307692307693,210000,148580,379000,2.5508143760936868,0.44285714285714284,19.576788739616333,1,12.254862809699606
C731,C,93,0.021505376344086023,220000,147500,306000,2.074576271186441,0.39545454545454545,15.836871840620516,0.945168458781362,12.301382825334498
C732,C,35,0,220000,180800,244360,1.3515486725663717,0.1409090909090909,13.137356039058131,0.87,12.301382825334498
C733,C,121,0.024793388429752067,207000,165000,240000,1.4545454545454546,0.18357487922705315,15.746371501999544,0.9265822784810128,12.240474072247506
C734,C,47,0,185000,160000,229000,1.43125,0.19594594594594594,9.408824595322393,0.9885714285714284,12.128111104060462
C735,C,32,0,199000,157650,268100,1.7006026006977482,0.3599246231155779,12.809734833073286,0.9675270108043218,12.201060103706629
C741,C,58,0.017241379310344827,290000,204100,344740,1.6890739833414992,0.2038793103448276,12.526199186434159,0.9651724137931036,12.577636201962656
C743,C,64,0.015625,201250,156470,346500.0000000004,2.214482009330865,0.27639751552795033,16.924850303079605,1.001477832512315,12.21230319528081
C744,C,77,0.025974025974025976,205000,103800,273400,2.6339113680154145,0.3409756097560976,16.284390790133166,0.974074074074074,12.230765258120545
C745,C,95,0.021052631578947368,285000,189400,354620.00000000006,1.87233368532207,0.21052631578947367,15.82981057349581,0.9477777777777778,12.560244459250788
C749,C,26,0.11538461538461539,230000,177500,277380,1.5627042253521126,0.2375,21.252436432391345,0.941628959276018,12.345834587905333
C811,C,24,0.08333333333333333,372500,229000,487500,2.12882096069869,0.25664429530201344,19.139375802701693,0.8818006148440931,12.827992316801751
D121,D,350,0.06857142857142857,110000,65000,155200.00000000006,2.3876923076923084,0.4090909090909091,25.6210673519235,1.0798076923076922,11.608235644774552
D131,D,468,0.029914529914529916,136300,90000,169000,1.8777777777777778,0.27879677182685253,20.632387879077395,0.9935390054744526,11.822613617684624
D132,D,172,0.05232558139534884,122250,74200,174810,2.3559299191374663,0.48445807770961147,25.477324818177905,1.0147715314317365,11.713823407337118
D141,D,286,0.017482517482517484,195500,140000,255000,1.8214285714285714,0.35805626598465473,19.167598113432767,0.8839693105273596,12.183315658407558
D211,D,248,0.036290322580645164,160500,125000,213600.00000000003,1.7088000000000003,0.2515576323987539,15.875368451515069,1.0270763927447715,11.986049221552207
D221,D,243,0.037037037037037035,180000,120400.00000000001,239800.00000000003,1.9916943521594683,0.35805555555555557,19.661234607661257,0.9767201648949722,12.100712129872347
D222,D,168,0.023809523809523808,155000,115000,205300,1.7852173913043479,0.24629032258064515,15.751816940789292,1.027283781729746,11.951180395901384
D231,D,135,0.014814814814814815,193000,150400,264960,1.7617021276595746,0.24093264248704663,12.846961203263067,0.96775956284153,12.170445467887022
D232,D,87,0.034482758620689655,179900,133000,223500.00000000003,1.680451127819549,0.18371317398554754,16.39567871384441,0.9799277038750722,12.100156419938624
D241,D,124,0.024193548387096774,166500,122000,209630,1.7182786885245902,0.2536036036036036,17.224835282685326,0.99625,12.022750588402635
D242,D,309,0.045307443365695796,162000,125000,230599.99999999997,1.8447999999999998,0.2932098765432099,18.159495336065508,1.0333167965981573,11.99535161421452
D243,D,140,0.04285714285714286,188900,145000,235000,1.6206896551724137,0.2536064055055585,15.829811404539036,0.9933658536585366,12.1489730534896
D251,D,34,0.029411764705882353,224000,158900,425700,2.6790434235368155,0.8783482142857143,22.353668342548403,0.9561166007905137,12.319401330837177
D311,D,73,0.0136986301369863,213000,160400,245000,1.527431421446384,0.22793427230046948,14.79625260819608,0.9573394495412844,12.269047444691562
D312,D,182,0.02197802197802198,199000,140100,264340.00000000006,1.8867951463240547,0.29773869346733667,15.75860132118628,0.971347003417521,12.201060103706629
D313,D,208,0.07211538461538461,180000,110035,240750,2.1879402008451856,0.3333333333333333,22.957224314612347,0.9742857142857143,12.100712129872347
D314,D,32,0,200000,160999.9,249500,1.5496904035344121,0.201125,14.600529137139773,1.0038314274215372,12.206072645530174
D321,D,82,0.06097560975609756,198250,146550,251800,1.7181849198225863,0.22698612862547288,21.264105559752945,0.9734278650378128,12.197284139497095
D322,D,31,0.03225806451612903,176900,135000,230000,1.7037037037037037,0.34511023176936123,18.58644140855923,1.0451686678101773,12.083339880147877
D331,D,75,0.013333333333333334,174900,135000,210000,1.5555555555555556,0.21869639794168097,16.2258227635733,1,12.071969661006694
D332,D,200,0.07,159900,100000,219089.7,2.190897,0.31785490931832394,25.16450680354096,1.0117716303708064,11.982303898822046
E121,E,125,0.136,65000,40000,125000,3.125,0.8,32.38803518822078,1.238012489818083,11.082142548877775
E122,E,285,0.07017543859649122,93730,60000,129959.40000000001,2.1659900000000003,0.4480955937266617,25.02910911882288,1.1797752808988764,11.44817358774053
E124,E,101,0.13861386138613863,70000,39000,140000,3.58974358974359,0.9357142857142857,32.02801912121599,1.1844812030075187,11.156250521031495
E125,E,301,0.09302325581395349,105000,65000,149000,2.292307692307692,0.47523809523809524,29.0009765425563,1.0822727272727273,11.56171562913966
E126,E,138,0.18115942028985507,93500,43500.00000000001,158250,3.637931034482758,0.6778074866310161,35.297323295841736,1.1613123993558776,11.44571671527678
E211,E,65,0.06153846153846154,145000,84060,178000,2.1175350939804902,0.32068965517241377,23.552344169455594,1.0153886109125567,11.884489021402711
E212,E,79,0.0759493670886076,165000,101600,288400,2.838582677165354,0.5666272727272728,23.953144789933507,1.0246698588709677,12.013700752882718
E213,E,111,0.018018018018018018,149900,110000,195000,1.7727272727272727,0.2334889926617745,15.337945468536402,1.0126751167444965,11.917723684090689
E214,E,79,0.0379746835443038,154900,100000,214600.00000000003,2.1460000000000004,0.25984506132989027,18.86945141672626,1.0050359712230217,11.95053502640496
E215,E,121,0.024793388429752067,161000,125000,196900,1.5752,0.24285714285714285,15.330118881082045,1.033125,11.9891596439666
E217,E,81,0.024691358024691357,150000,110000,170000,1.5454545454545454,0.24,16.239489086178356,1.0425396825396824,11.918390573078392
E218,E,21,0.09523809523809523,185000,165000,225000,1.3636363636363635,0.24324324324324326,12.070556820842553,1.0156627776679192,12.128111104060462
E221,E,143,0.1048951048951049,92500,55980.00000000001,139520.00000000003,2.4923186852447303,0.5589189189189189,30.785356793027542,1.096470588235294,11.434963923500517
E222,E,35,0.02857142857142857,116000,70000,145000,2.0714285714285716,0.4995689655172414,23.673314356074332,1.0422872340425533,11.661345470088502
E223,E,55,0.09090909090909091,99900,60000,270000,4.5,0.5855855855855856,26.511630919428747,1.1503473684210528,11.511924964636645
E224,E,188,0.11170212765957446,89900,50000,128600.00000000003,2.5720000000000005,0.5553392658509455,30.224454581850775,1.1162710043948727,11.406453220459712
E225,E,48,0.020833333333333332,125750,72350,156200.00000000003,2.1589495507947483,0.378727634194831,24.466454035794325,0.9953221696396068,11.742051087961986
E226,E,47,0.0851063829787234,108000,64200,137360,2.139563862928349,0.41712962962962963,23.8873575175469,1.1611111111111112,11.589886506106357
E227,E,100,0.08,106500,68500,143190,2.0903649635036494,0.3755868544600939,24.79694271041694,1.1392156862745098,11.575900264131617
E231,E,283,0.04946996466431095,110000,76000,148000,1.9473684210526316,0.32045454545454544,21.627021680488525,1.0654545454545454,11.608235644774552
E233,E,247,0.020242914979757085,130000,100000,165000,1.65,0.2692307692307692,16.344962391093365,1.0084615384615383,11.77528972943772
E234,E,59,0.05084745762711865,118600,92400,150600,1.62987012987013,0.22976391231028667,15.756292742847958,1.1008666666666667,11.683511765545763
